Ticker,Q9_NetIncome,Q10_NetIncome,Q11_NetIncome,Q12_NetIncome,Q13_NetIncome,Q14_NetIncome,Q15_NetIncome,Q16_NetIncome
CARR,384000000,1245000000,741000000,261000000,96000000,784000000,400000000,487000000
CASY,119159000,41698000,38627000,111983000,120592000,62091000,33959000,81981000
CASY,41698000,38627000,111983000,120592000,62091000,33959000,81981000,119159000
CAT,1413000000,1530000000,2786000000,668000000,458000000,1092000000,3269000000,1494000000
CAT,1530000000,2786000000,668000000,458000000,1092000000,3269000000,1494000000,1413000000
CAVA,,,,,,,,
CAVA,,,,,,,,
CB,2265000000,2300000000,2418000000,1194000000,-331000000,252000000,1173000000,1091000000
CB,2300000000,2418000000,1194000000,-331000000,252000000,1173000000,1091000000,2265000000
CBOE,105500000,137200000,87300000,109900000,113600000,157400000,86300000,106000000
CBOE,137200000,87300000,109900000,113600000,157400000,86300000,106000000,105500000
CBRE,442637000,266202000,313765000,184132000,81897000,172195000,637618000,256599000
CBRE,266202000,313765000,184132000,81897000,172195000,637618000,256599000,442637000
CBSH,162326000,130972000,129889000,132448000,39863000,51857000,106880000,109242000
CBSH,130972000,129889000,132448000,39863000,51857000,106880000,109242000,162326000
CC,66000000,96000000,19000000,76000000,24000000,100000000,-317000000,76000000
CC,96000000,19000000,76000000,24000000,100000000,-317000000,76000000,66000000
CCCS,3816000,-5084000,5617000,4720000,-1961000,-25252000,,
CCCS,-5084000,5617000,4720000,-1961000,-25252000,,,3816000
CCI,334000000,58000000,508000000,163000000,200000000,185000000,208000000,272000000
CCI,58000000,508000000,163000000,200000000,185000000,208000000,272000000,334000000
CCK,128000000,211000000,151000000,214000000,126000000,88000000,87000000,183000000
CCK,211000000,151000000,214000000,126000000,88000000,87000000,183000000,128000000
CCL,-2836000000,-2072000000,-1973000000,-2222000000,-2858000000,-4374000000,-781000000,423000000
CCL,-2072000000,-1973000000,-2222000000,-2858000000,-4374000000,-781000000,423000000,-2836000000
CDAY,-25800000,-19200000,-17300000,-800000,5500000,8600000,-1500000,62700000
CDAY,-19200000,-17300000,-800000,5500000,8600000,-1500000,62700000,-25800000
CDNS,176307000,155900000,187169000,173738000,161630000,131288000,123988000,659675000
CDNS,155900000,187169000,173738000,161630000,131288000,123988000,659675000,176307000
CDW,274100000,232600000,238300000,193200000,189100000,167900000,185600000,201700000
CDW,232600000,238300000,193200000,189100000,167900000,185600000,201700000,274100000
CE,538000000,322000000,1453000000,207000000,107000000,218000000,43000000,263000000
CE,322000000,1453000000,207000000,107000000,218000000,43000000,263000000,538000000
CEG,-61000000,-793000000,,,,,,
CEG,-793000000,,,,,,,-61000000
CELH,780000,585000,1666012,4753603,1558334,546051,-1173082,961042
CELH,585000,1666012,4753603,1558334,546051,-1173082,961042,780000
CERT,-2857000,1052000,-54447000,1227000,2777000,1046000,,
CERT,1052000,-54447000,1227000,2777000,1046000,,,-2857000
CF,246000000,151000000,87000000,-28000000,190000000,68000000,94000000,65000000
CF,151000000,87000000,-28000000,190000000,68000000,94000000,65000000,246000000
CFG,648000000,611000000,456000000,314000000,253000000,34000000,450000000,449000000
CFG,611000000,456000000,314000000,253000000,34000000,450000000,449000000,648000000
CFLT,-88170000,-44526000,-31756000,-138141000,-26296000,,,
CFLT,-44526000,-31756000,-138141000,-26296000,,,,-88170000
CFR,118068000,116015000,88270000,95056000,93072000,54753000,103681000,111836000
CFR,116015000,88270000,95056000,93072000,54753000,103681000,111836000,118068000
CG,925000000,869300000,518800000,295500000,145900000,-612000000,-8300000,92200000
CG,869300000,518800000,295500000,145900000,-612000000,-8300000,92200000,925000000
CGNX,77598000,69848000,69345000,87506000,-1142000,20477000,80327000,41685000
