Ticker,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,Month13_Volume,Month14_Volume,Month15_Volume,Month16_Volume,Month17_Volume,Month18_Volume,Month19_Volume,Month20_Volume,Month21_Volume,Month22_Volume,Month23_Volume,Month24_Volume
CARR,58827920,95106372,99333762,111564649,116117268,126561069,129618400,119567381,83100859,72534613,69914136,79898331,113279238,87903334,99357861,77650022,105508649,124810142,92589077,112269091,107464237,93150886,70600778,75705365
CAT,28932349,41502924,67916647,50225250,71077880,64137163,62970066,76612772,60488115,70851843,60975646,69079143,69681381,59331668,59525034,54589685,71114825,61612146,67025577,92996282,67496779,89456149,57743751,70721968
CB,19489130,33463259,33085121,38444221,43222567,37106589,29691306,46992431,39069677,31949257,34587528,35976616,33700724,34848640,30729136,38141138,40938919,38786084,30577068,42533690,45900779,38058007,35362994,37687179
CBOE,9977591,13477080,15510525,10281234,13927804,14666527,10417502,16966197,13712700,12991634,13672122,20273301,13511849,11513127,15004275,11966887,11723957,14695397,13827395,14854620,12883609,11525764,10568300,13504145
CBRE,16267845,39350584,28353651,32390255,38007737,44084418,33887092,46356545,27147304,25570444,30406425,35040665,37213317,38284045,31718249,32011448,49932309,49971453,37359179,48772766,30957161,27957206,32489950,29892982
CCI,46795859,68192961,63735643,64853185,68941375,54875545,37483455,50926566,33106439,41607544,45865886,49573335,62611601,37049032,26732906,27589579,42880138,34215513,30509114,42016932,41896849,40198212,32586825,29878033
CCL,412106032,533471999,541066579,782724305,1189393264,767745154,540770174,1050036892,689486490,804439006,1006000697,1189963770,1532164139,1242415822,1084670695,1228579758,1168172738,871248771,640667115,954577155,712213490,748791104,1134740166,750957425
CDAY,14050517,22587509,32897288,22940492,26194082,40180927,20649070,23018486,30829728,19326598,31345459,46983247,25843107,25492710,29053722,26389460,36787344,48952407,33242261,35443785,39832703,32300299,23498824,20615636
CDNS,15826163,22805234,27965398,36925383,49085743,39615163,32277981,47776558,32886831,27900404,27496767,34408152,50594720,37852500,36646876,30202803,31944381,35684554,33841586,42257174,37188082,34572094,32643389,24397844
CDW,8837456,12526637,13822971,11031057,18091042,21694520,21248919,16757356,19032477,15498718,11512436,13415749,13733818,13266885,21069205,11147903,15147057,20377768,18135912,17517104,21483586,17960543,22421993,16286602
CE,10053116,21541693,31524983,24071292,30971919,35062514,16569770,33098728,18220500,19427279,20669519,26515977,20530958,26137299,20790714,25459202,22780566,22326522,17043647,25984460,20484952,14535144,14463421,15171959
CEG,22150887,37932332,39107980,32552732,54450146,55270507,28793931,52792075,44304382,39458839,32462313,45314268,38356028,55828389,49779209,51655943,58936756,56065124,51063047,71718757,,,,
CF,26569235,48095746,46186615,45052460,57904747,64740809,44034879,68887921,55812424,59981654,48329504,59697249,51537870,59247291,53772804,49781614,87013697,69061446,66852415,130543007,82259304,72556429,60447792,59292774
CFG,73121402,100191594,117805360,137592154,144976256,212773336,176311198,232175790,61537403,82611413,75861665,78636874,98495069,100721861,78808491,84076830,112020358,126449065,186795825,128227406,81231013,121168613,84750411,87691505
CHD,22239475,23029069,26381677,26913775,32635618,40189722,24643641,29608934,27898841,27579461,27522302,33539414,36344175,35490193,34671810,26081496,34416567,30316790,24636094,29157446,36381196,44437336,37186172,23730204
CHRW,11662103,20665236,20234610,16588258,26993106,23906232,22136289,26179709,28706887,38608836,26837508,35782723,27006692,29121709,25622517,25321879,25495810,26966081,27934900,33482568,31436533,23712323,24383290,21637838
CHTR,10520373,23391599,27786548,27237478,23982551,22621205,20694179,25177902,19130244,27711303,36348828,25911438,33881407,34404012,25423747,23767439,28593026,32300083,31367464,34936182,37131700,27346333,29921737,19478387
CI,16592276,21730334,32011938,28926558,35254215,39060626,34265123,45089250,33320669,32503763,27781384,44641392,40481974,43952175,42894976,40602198,41188872,34775003,26362836,37619933,34578055,35339521,40053715,46169728
CINF,8676528,12559594,13542913,15198608,14772120,10886094,10941966,24857329,12815211,11107805,11224544,13044168,19844806,18041296,16621965,20788162,12179862,13291418,12510166,17790246,14904297,12630945,11780692,10913452
CL,64296240,72889334,81587075,104207458,101151966,129566607,98689144,101151455,72129429,104753612,69907674,74172400,97811523,103159554,97230255,80884257,96331529,108748185,133250969,121358234,89150708,110017763,101655537,75839226
CLX,28840223,29311594,29739960,21915141,22990873,31597564,19910587,25352931,26378339,23402074,17407114,29068928,23467080,19788016,22911527,23780219,31617745,32703480,26148012,29464974,38838822,29118429,26607344,27056280
CMA,26948011,45159824,35553999,59784626,66706643,122273191,68138214,144388013,28010893,30793389,31115015,30336111,38004200,27684650,16148512,22438989,25321072,30308367,34681563,37991103,21014410,30574448,29554476,18808165
CMCSA,223741393,379898019,352486393,372006642,368715771,458021643,334287099,442500732,352295914,421836143,529048305,500211522,623608169,646023123,486329825,451532269,507956099,555320779,457125575,471209060,449178780,505066874,540316520,331424230
CME,20825930,22967671,31713013,28090818,35416557,29285407,25812522,46829844,35646447,37814767,43719782,45786254,41134229,30342706,29236123,26120190,34272185,35508564,29493735,40558159,37145973,34651287,24301926,25834938
CMG,3033952,4421974,5232164,6780048,5393626,6315601,6811628,5678645,6401137,5575257,5473546,5741793,7965210,5452601,4477238,6117725,4737199,6272992,4661038,6340335,7131881,7389498,4543128,4463201
CMI,7741568,16528187,17952865,17508723,24067179,21129813,16245013,31579778,17557366,16079420,17371538,23957713,19351919,15478604,18228322,20240902,18220243,20949006,21230805,30557718,24846722,22314000,21301970,21517417
CMS,39255145,47504452,32700908,35561195,43639977,57208975,40015818,42853959,38735849,33738543,37386006,45813552,50696805,38923978,40247788,34299043,40321849,40567347,37891641,50036586,37808756,33808939,26762878,25361649
CNC,34320264,77827161,65372730,72426867,69193974,60525535,72170576,88850307,84567135,75484702,64722273,74601967,78745551,98201767,62559467,57382567,59091661,66640147,49736360,63005810,48316276,73211914,99271136,79037964
CNP,66822369,88268330,93076578,70503625,77916730,93000298,55260710,106862906,68179544,70864706,66719641,79407212,103712030,93651670,69817891,70149677,101094275,104332572,105913059,107482307,102194504,104081414,98680868,73892005
COF,27925444,40488080,45446864,53952101,54548325,86810512,52503224,84279588,53496557,80560312,67799444,54137031,57641752,56781778,50395542,51539497,63545623,55031281,55125823,76263773,49351482,65817741,57522235,59550843
